classid,market_hash_name,type,icon_url
519978412,UMP-45 | Indigo (Field-Tested),Consumer Grade SMG,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLkk4a0qB1I4M2nZqBkJ_-sD2mU_ulktfhWQiy3nAgq_Wzdwt2hJyrFbQB0W8FwROII4EHskNGxMe2w4geN3YoRzS32jypOuCp1o7FVB_Wauzs
1560431541,USP-S | Lead Conduit (Minimal Wear),Mil-Spec Grade Pistol,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLkjYbf7itX6vytbbZSJ-OsG3SA_vh5vPVoSCyMmRQguynLmNyrdimTZw4mW8cmE-ZYsxewkYaxZb6z5FbfjY8RyS__iXsc6S09sfFCD_RkYnnFtg
4839651211,Sticker | Cloud9 (Holo) | Antwerp 2022,Exotic Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjMuvIWyS90YnpNWmpVq-fhX-kpmuriYC6faobP09cvHCWGXBxb115eM_H3_gxUkk4mrSztetdnvEPw8gD4wwG7Cs7CcIeA
4614639329,Sticker | Virtus.Pro (Holo) | Stockholm 2021,Remarkable Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjNm1Onic7QQlpta7_EnYSRL9kdjh_3oOtqP2OKJvI6XEWzbElbwu4-U-H3DkwE0i5WyDn46vJX2QP1clFNIuEhvXTkRv
310776840,SCAR-20 | Contractor (Field-Tested),Consumer Grade Sniper Rifle,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLinZfyr3Jk_P2ReKluH_2WCm6FzKAk4eQ9HnzlxEkm4jmGz4yrcCmXZwcoXMdyRbEI4xTrxNe2Nuvr5gDXlcsbmlOceO9R
4726103153,StatTrak™ USP-S | Ticket to Hell (Field-Tested),StatTrak™ Restricted Pistol,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLkjYbf7itX6vytbbZSI-WsG3SA_vp5j-lsQyWMmBgjuiiI1I6qdH6fbgAoApFyRrJf4xnumoDnM-7j41Pbgt8TyCT72CxK6SttsrscEf1y0Tw_DYE
5537026493,"Music Kit | Valve, CS:GO",High Grade Music Kit,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIijyEKzb_3d19nuI3qb81NKpNa66wu1Qx-mm8Kx-CYC6aD2bv0-IfPFWGHIkegh5LY4GXzlxU905W7UwsHpLywWgep6oQ
5537026494,Global Offensive Badge,Extraordinary Collectible,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai2l-lQ8ndwMWvJjSU6l97y4Tn7VapFB6kzsLmrXcP7vSvMfY_d6jAWTfHlLZ34rA4GXrnlkh052_TwomvdWXXMFHAFOJ0XQ
3035569253,Nova | Mandrel (Factory New),Consumer Grade Shotgun,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL_kYDhwipC0Pa7a7B-H_eBC36vzedxuPUnS3DqzRsk4mvUwt2gcXLFPwZyDZZ0R-MM5xa4lNXvNurhsg2Kg94QxTK-0H0uEiuY9A
310777246,SG 553 | Waves Perforated (Field-Tested),Consumer Grade Rifle,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLimcO1qx1I_826abRoH_ScGnSv1u9gtfJWQiy3nAgq_WjSzIn7dXiRbQBzA5smTbYO5hPsm4GxYui3tQSMidoQxXiqhnwa7np1o7FVFqHxgf0
